3c ba a7 97 30 5d 3a 3f 3d 6a 1a 25 64 ad 1e 6b ca 8e 07 de ba 15 36 35 12 66 ec f6 7c 17 48 00 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\DETOURDLLMAIN.CPP
3e 7c a9 d3 fb 62 78 7b 90 b4 d4 51 5a 68 cb 21 e1 bf 2c b8 44 5d 93 d6 62 09 b6 a0 6a 2d c9 41 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\DEBUG\MSNDETOURDLL.DLL.EMBED.MANIFEST
3f ce 27 4d 0b 3b 29 f9 30 4f 43 92 8a 6e ee a2 4c c4 1f 1a c7 54 50 84 50 42 4d e1 41 98 52 02 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\HOOKSPY_SRC.ZIP
41 31 e7 57 a1 57 d5 b0 de 15 96 04 9e 7a 2f 42 e1 bf 2c b8 44 5d 93 d6 62 09 b6 a0 6a 2d c9 41 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\WSHOOK\DEBUG\WSHOOK.DLL.EMBED.MANIFEST
42 2b 73 b9 c8 d6 6b 0c df a8 76 f6 79 7c bc 1f 8a 58 80 66 93 5e ad e9 c8 d3 2f cb 94 4e bc 21 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\DEBUG\MT.DEP
43 7b 82 52 bc 66 a7 ff ad 0b 7d e7 f4 7f ee ac 61 68 74 70 b8 22 64 3f e9 a7 65 87 e8 37 91 83 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\VISUALIZERS\AUTOEXPCE.DLL
44 59 23 4c ce 98 54 99 96 9a 66 2f d8 4f 34 37 f7 89 35 d7 51 10 aa 73 07 74 c9 e5 74 25 3a c8 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\DEBUG\VC90.PDB
44 ec ca 27 f0 88 63 e7 ab 91 91 b1 fc b8 72 60 6d 77 8e 0f 95 44 7e 65 46 55 3e ee a7 09 d0 3c 52 11071 12 C:\WINDOWS\SYSTEM32\CMD.EXE
45 d5 59 21 48 ce b3 bd 60 7a 8e e6 15 90 4d 4c ce c8 5a c7 67 6f a2 b7 77 1c 64 97 3c f2 e5 59 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DEBUG\APIHOOK.ILK
46 ec 6d 8f 80 e6 c0 74 71 59 fc c9 a2 86 f5 e4 ae 5c 38 8f a6 e5 c8 20 02 f6 1e 6c 2f 3a 80 63 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\APIHOOK\DEBUG\APIHOOK.DLL.EMBED.MANIFEST.RES
47 75 7e ce ac f4 15 67 0e 01 66 b0 c4 fc 7e 56 29 5b 5e db 89 d6 b4 0a 79 83 c5 2f ba 5c fe 1b 52 11071 4 C:\MAG_REPO\CLAMTOOLS\BIN\DCSERVICE.EXE
48 2e f6 cb 51 57 ac b9 d4 6a 11 5d ba 3b 4a 99 c9 84 c8 bc 66 07 83 cc bb f7 4b 99 d2 bd 09 96 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\TRANSACTIONAL_NTFS_SRC\TXF.CPP
4b 23 0f 2a f0 1c 83 c3 ae 40 ef 9d 37 8d 8e 8e 6b ee af 6f 84 bf 64 1e e0 8a 71 c8 c8 f1 39 2b 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\DEBUG\DLGRECVSEND.OBJ
4c 15 48 72 ef 95 76 ee 59 28 dc e0 87 c3 bd 57 e1 c0 98 9e f2 b4 12 1b a8 98 ee 33 ac e8 4e 6a 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\WSHOOK\DEBUG\VC90.IDB
4c ab 26 a1 f2 f7 e4 f8 3f 99 de 25 88 62 f8 ec 18 fb ef ee 9d 0d 18 ba 0f 98 61 ca d0 12 55 d1 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\CREATEWITHDLL\CREATEWITHDLL.VCPROJ.TEST.ADMIN.USER
4d 27 21 1e c2 50 de d2 e7 d3 99 6b 52 cb d8 5e 26 26 93 f4 74 81 de fc 16 ae 7e 61 44 3d 60 c6 52 11070 4 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\LIBSPY\LIBSPY.EXE
4d 79 57 35 ed eb 07 9a 43 d0 ad c3 cd 54 f2 8e 21 49 51 f7 2c bf 5e 03 1b 64 5c f5 8a f2 24 15 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\CREATEWITHDLL\DEBUG\BUILDLOG.HTM
4d c4 44 2c 59 ac fc bc df 6f 1a 85 ca 31 88 09 5d c6 a9 1c 6b 4d af 85 d0 be a1 c5 af 61 07 8b 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\MY PICTURES\DESKTOP.INI
4f 00 a1 45 ab b9 03 a6 25 06 9c e7 c7 a9 b2 a2 3c 39 2f 69 37 dd fd 82 20 22 6d c1 5a 93 a7 f3 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\APIHOOK\APIHOOK.VCPROJ.TEST.ADMIN.USER
51 51 6e 6f 99 dc 69 0d f0 8e ae e7 7c 5a b4 a5 96 b9 d2 8b f9 a7 92 61 de 04 a2 2d bb d0 c2 53 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\CREATEWITHDLL\TESTDLL2.DLL
51 94 3c 75 5f 28 d1 00 4c f9 f9 ba 29 2b f4 b8 e5 4c 12 ec 48 5a 39 97 48 96 1f 75 5d 08 93 08 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\ABOUT.TXT
54 0c 8d 96 0b 66 a1 ae 8a 44 3a 05 83 e9 1b 38 5d 55 d0 b9 69 b1 18 06 69 f4 cd f0 67 4e 28 9c 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\PROJECTS\VSMACROS80\SAMPLES\SAMPLES.VSMACROS
54 a0 49 e5 6b f0 6f d3 bd 3c be 0a d7 fb 91 30 87 f0 eb bb 04 ec cc 18 6a 55 b2 7c 78 71 69 da 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\APIHOOK\DEBUG\VC90.PDB
55 3c d1 89 a0 e4 b8 78 ce 02 3e 2a dc fe 90 71 5c 8e 99 8f 80 f6 dd b7 f5 38 d8 d9 85 74 ad 4c 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\WINSPY_PACKAGE\HOOKINJEX_SRC\HOOKINJEX\RESOURCE.H
56 a7 75 8d 35 60 5e 3c c1 7c bc c6 fd 00 b4 0e dd 8f 7e d3 c2 c4 88 8f cb f1 02 07 1f 3c ed 64 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\ADDINS\GITPLUGIN.ADDIN
5c 03 72 ea af 17 8b 5b e8 58 76 18 01 27 db 4f 3c 39 2f 69 37 dd fd 82 20 22 6d c1 5a 93 a7 f3 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\WSHOOK\WSHOOK.VCPROJ.TEST.ADMIN.USER
5c 40 45 8f 68 a7 c8 eb 14 33 6a e3 3f dd 5f dd 8d a3 fa 81 ef a8 5a da d7 8e fc 1d 31 53 7d 2a 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\APIHOOK\DEBUG\APIHOOK.DLL.INTERMEDIATE.MANIFEST
5d 5d 4f cc fa 6d cd dd 83 2e 14 73 6a 17 36 b4 8d a3 fa 81 ef a8 5a da d7 8e fc 1d 31 53 7d 2a 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\DEBUG\ENUMPROCESSES.EXE.INTERMEDIATE.MANIFEST
5f 1c ed 95 06 5f a7 c7 7a 26 7d ea 22 94 6a 91 b1 9d 92 2c 64 38 09 6a bf b3 c1 98 55 22 8c b7 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\MSNDETOURDLL\MSNDETOURDLL.RC
61 58 af 1a f2 b3 a0 cc 4c a6 3a b7 44 6b 5c e3 ca 95 63 ff ef 10 be a0 df 56 59 d6 34 1c 07 70 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\VISUAL STUDIO 2008\VISUALIZERS\AUTOEXPCE.CS
63 89 df 8f 83 2d 62 b3 eb 0c 13 e5 8f 01 63 41 c9 2c 7b cb 01 b9 95 60 51 de cc 3a 38 a0 f4 b4 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DETOURBYADDR\DEBUG\VC90.PDB
64 25 b7 f0 dd 2f 4b 0a d3 c1 32 51 61 8c 7e d7 a9 31 11 4f fc 09 f0 2c f5 f9 86 15 f9 c2 0c 39 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\DETOURBYADDR\DETOURBYADDR.VCPROJ
64 59 62 fa 0d c9 b3 72 04 fb 93 db b4 bd fe bf e7 4c 32 11 8f e0 d3 28 3a c0 88 08 f6 df 5b 1a 52 11070 3 C:\DOCUMENTS AND SETTINGS\DAINIUS\MY DOCUMENTS\DOWNLOADS\APIHOOKINGCOMPLETE\APIHOOKINGCOMPLETE\ENUMPROCESSES\DEBUG\VC90.IDB
